filename	acq_time	operator	randstr
anat/sub-18_ses-01_T1w.nii.gz	2019-09-13T12:27:41	n/a	2xhr&.I7
func/sub-18_ses-01_task-view_run-01_bold.nii.gz	2019-09-13T12:31:17	n/a	|?7gQUwh
func/sub-18_ses-01_task-recall_run-01_bold.nii.gz	2019-09-13T12:54:48	n/a	RK:=!a9h
func/sub-18_ses-01_task-view_run-02_bold.nii.gz	2019-09-13T13:04:21	n/a	csZ#(pe6
func/sub-18_ses-01_task-recall_run-02_bold.nii.gz	2019-09-13T13:26:57	n/a	e.*z_5Ki
func/sub-18_ses-01_task-view_run-03_bold.nii.gz	2019-09-13T14:17:35	n/a	BS&5Tx>]
func/sub-18_ses-01_task-recall_run-03_bold.nii.gz	2019-09-13T14:39:35	n/a	tk-JDcUx
fmap/sub-18_ses-01_dir-AP_epi.nii.gz	2019-09-13T14:45:44	n/a	=O({6~ol
fmap/sub-18_ses-01_dir-PA_epi.nii.gz	2019-09-13T14:46:35	n/a	<95_^cE7
