filename	acq_time	operator	randstr
func/sub-02_ses-01_task-view_run-01_bold.nii.gz	2019-05-31T12:43:14	n/a	Q#{94Eb@
func/sub-02_ses-01_task-recall_run-01_bold.nii.gz	2019-05-31T13:05:00	n/a	eR\ptl:S
func/sub-02_ses-01_task-view_run-02_bold.nii.gz	2019-05-31T13:13:36	n/a	-NzIX*M6
func/sub-02_ses-01_task-recall_run-02_bold.nii.gz	2019-05-31T13:34:14	n/a	[]3'Fut{
func/sub-02_ses-01_task-view_run-03_bold.nii.gz	2019-05-31T13:43:40	n/a	L:s,?_iD
func/sub-02_ses-01_task-recall_run-03_bold.nii.gz	2019-05-31T14:04:36	n/a	P{!p~>f?
anat/sub-02_ses-01_T1w.nii.gz	2019-05-31T14:16:00	n/a	k?,`fq&/
