filename	acq_time	operator	randstr
func/sub-04_ses-01_task-view_run-00_bold.nii.gz	2019-06-03T16:14:16	n/a	U/;>7n*+
func/sub-04_ses-01_task-view_run-01_bold.nii.gz	2019-06-03T16:26:02	n/a	|Ht!LSE9
func/sub-04_ses-01_task-recall_run-01_bold.nii.gz	2019-06-03T16:40:46	n/a	]F2G(zes
func/sub-04_ses-01_task-view_run-02_bold.nii.gz	2019-06-03T16:44:56	n/a	F[ETw,C'
func/sub-04_ses-01_task-recall_run-02_bold.nii.gz	2019-06-03T17:05:42	n/a	L`K>1/lU
func/sub-04_ses-01_task-view_run-03_bold.nii.gz	2019-06-03T17:09:46	n/a	Yk'exdzv
func/sub-04_ses-01_task-recall_run-03_bold.nii.gz	2019-06-03T17:31:16	n/a	^W`ZjUrK
anat/sub-04_ses-01_T1w.nii.gz	2019-06-03T17:40:40	n/a	7q`F;\:a
fmap/sub-04_ses-01_dir-AP_epi.nii.gz	2019-06-03T17:41:16	n/a	"L3l?""F#6"
fmap/sub-04_ses-01_dir-PA_epi.nii.gz	2019-06-03T17:43:36	n/a	uc'w~T_L
