filename	acq_time	operator	randstr
anat/sub-16_ses-01_T1w.nii.gz	2019-09-10T12:29:07	n/a	gCHNbkL_
func/sub-16_ses-01_task-view_run-01_bold.nii.gz	2019-09-10T12:34:38	n/a	~NgRQfqe
func/sub-16_ses-01_task-recall_run-01_bold.nii.gz	2019-09-10T12:56:45	n/a	R,!(C'u?
func/sub-16_ses-01_task-view_run-02_bold.nii.gz	2019-09-10T13:02:27	n/a	|Z[*h\JV
func/sub-16_ses-01_task-recall_run-02_bold.nii.gz	2019-09-10T13:24:58	n/a	@['LEIfq
func/sub-16_ses-01_task-view_run-03_bold.nii.gz	2019-09-10T13:31:25	n/a	Y~Bcm]gL
func/sub-16_ses-01_task-recall_run-03_bold.nii.gz	2019-09-10T13:52:07	n/a	"eu3<'6""("
fmap/sub-16_ses-01_dir-AP_epi.nii.gz	2019-09-10T13:59:18	n/a	DObyt->R
fmap/sub-16_ses-01_dir-PA_epi.nii.gz	2019-09-10T13:59:57	n/a	Hem2B[d7
