filename	acq_time	operator	randstr
func/sub-06_ses-01_task-view_run-01_bold.nii.gz	2019-06-10T17:01:42	n/a	Bs=.b_x!
func/sub-06_ses-01_task-recall_run-01_bold.nii.gz	2019-06-10T17:28:31	n/a	"""&n?yX@J"
func/sub-06_ses-01_task-view_run-02_bold.nii.gz	2019-06-10T17:57:51	n/a	~cmp?qUu
func/sub-06_ses-01_task-recall_run-02_bold.nii.gz	2019-06-10T18:21:28	n/a	~&C@0=/L
func/sub-06_ses-01_task-view_run-03_bold.nii.gz	2019-06-10T18:32:31	n/a	\#hx~?+A
func/sub-06_ses-01_task-recall_run-03_bold.nii.gz	2019-06-10T18:53:11	n/a	"-/%[t;""5"
anat/sub-06_ses-01_T1w.nii.gz	2019-06-10T19:11:23	n/a	Umb8lLDC
fmap/sub-06_ses-01_dir-AP_epi.nii.gz	2019-06-10T19:12:43	n/a	v:zR?+wH
fmap/sub-06_ses-01_dir-PA_epi.nii.gz	2019-06-10T19:13:25	n/a	1pP+i*7f
