filename	acq_time	operator	randstr
func/sub-11_ses-01_task-view_run-01_bold.nii.gz	2019-09-06T12:23:53	n/a	7$gyCqY~
func/sub-11_ses-01_task-recall_run-01_bold.nii.gz	2019-09-06T12:46:07	n/a	wK_3`E>A
func/sub-11_ses-01_task-view_run-02_bold.nii.gz	2019-09-06T12:54:07	n/a	Ac@:jmGP
func/sub-11_ses-01_task-recall_run-02_bold.nii.gz	2019-09-06T13:15:33	n/a	vQ3MZ2*W
func/sub-11_ses-01_task-view_run-03_bold.nii.gz	2019-09-06T13:25:07	n/a	ft![b&c=
func/sub-11_ses-01_task-recall_run-03_bold.nii.gz	2019-09-06T13:46:07	n/a	Mh7RKWSx
anat/sub-11_ses-01_T1w.nii.gz	2019-09-06T14:01:06	n/a	#hMX%4[@
fmap/sub-11_ses-01_dir-AP_epi.nii.gz	2019-09-06T14:02:23	n/a	"""U{RnujN"
fmap/sub-11_ses-01_dir-PA_epi.nii.gz	2019-09-06T14:03:01	n/a	"@zZjot:"""
