filename	acq_time	operator	randstr
anat/sub-17_ses-01_T1w.nii.gz	2019-09-10T14:54:04	n/a	GT~_Ag:U
func/sub-17_ses-01_task-view_run-01_bold.nii.gz	2019-09-10T15:13:18	n/a	"%1""iEs.J"
func/sub-17_ses-01_task-recall_run-01_bold.nii.gz	2019-09-10T15:35:25	n/a	w[*RV({r
func/sub-17_ses-01_task-view_run-02_bold.nii.gz	2019-09-10T15:46:44	n/a	HN;)>Ilw
func/sub-17_ses-01_task-recall_run-02_bold.nii.gz	2019-09-10T16:10:18	n/a	]5*w{)k2
func/sub-17_ses-01_task-view_run-03_bold.nii.gz	2019-09-10T16:18:25	n/a	RrEFxGw3
func/sub-17_ses-01_task-recall_run-03_bold.nii.gz	2019-09-10T16:41:04	n/a	_reZ2Nva
fmap/sub-17_ses-01_dir-AP_epi.nii.gz	2019-09-10T16:46:06	n/a	pq7(DF^!
fmap/sub-17_ses-01_dir-PA_epi.nii.gz	2019-09-10T16:46:46	n/a	r=XSneyV
