filename	acq_time	operator	randstr
func/sub-08_ses-01_task-view_run-01_bold.nii.gz	2019-06-17T16:17:44	n/a	TQwBYDX$
func/sub-08_ses-01_task-recall_run-01_bold.nii.gz	2019-06-17T16:38:58	n/a	n&|P-\a*
func/sub-08_ses-01_task-view_run-02_bold.nii.gz	2019-06-17T16:43:23	n/a	R{OrXd59
func/sub-08_ses-01_task-recall_run-02_bold.nii.gz	2019-06-17T17:04:24	n/a	U<2;f3-p
func/sub-08_ses-01_task-view_run-03_bold.nii.gz	2019-06-17T17:08:58	n/a	9n'.`eV>
func/sub-08_ses-01_task-recall_run-03_bold.nii.gz	2019-06-17T17:30:23	n/a	"%MA7""uv\"
anat/sub-08_ses-01_T1w.nii.gz	2019-06-17T17:40:58	n/a	M{|\a>4B
fmap/sub-08_ses-01_dir-AP_epi.nii.gz	2019-06-17T17:41:37	n/a	"cF@""W^m)"
fmap/sub-08_ses-01_dir-PA_epi.nii.gz	2019-06-17T17:42:27	n/a	TryR1g}@
