filename	acq_time	operator	randstr
func/sub-05_ses-01_task-view_run-00_bold.nii.gz	2019-06-10T14:28:11	n/a	P./6nYkM
func/sub-05_ses-01_task-view_run-01_bold.nii.gz	2019-06-10T14:37:42	n/a	skcnS}$v
func/sub-05_ses-01_task-recall_run-01_bold.nii.gz	2019-06-10T14:52:48	n/a	}F%=0/&Y
func/sub-05_ses-01_task-view_run-02_bold.nii.gz	2019-06-10T15:00:11	n/a	L*o-y\~l
func/sub-05_ses-01_task-recall_run-02_bold.nii.gz	2019-06-10T15:20:42	n/a	h@6kqcSr
func/sub-05_ses-01_task-view_run-03_bold.nii.gz	2019-06-10T15:27:28	n/a	!tEmS{(/
func/sub-05_ses-01_task-recall_run-03_bold.nii.gz	2019-06-10T15:49:31	n/a	_]|giEXS
anat/sub-05_ses-01_T1w.nii.gz	2019-06-10T16:01:28	n/a	srAkh~'6
fmap/sub-05_ses-01_dir-AP_epi.nii.gz	2019-06-10T16:02:11	n/a	"#4-:KD""0"
fmap/sub-05_ses-01_dir-PA_epi.nii.gz	2019-06-10T16:03:09	n/a	2'S[+skf
