filename	acq_time	operator	randstr
anat/sub-14_ses-01_T1w.nii.gz	2019-09-09T12:26:58	n/a	$=(dXSYA
func/sub-14_ses-01_task-view_run-01_bold.nii.gz	2019-09-09T12:30:47	n/a	i|%/&A#1
func/sub-14_ses-01_task-recall_run-01_bold.nii.gz	2019-09-09T12:53:30	n/a	I`+)4~]8
func/sub-14_ses-01_task-view_run-02_bold.nii.gz	2019-09-09T13:01:28	n/a	-Kpz/rsB
func/sub-14_ses-01_task-recall_run-02_bold.nii.gz	2019-09-09T13:23:47	n/a	d3@a8)gu
func/sub-14_ses-01_task-view_run-03_bold.nii.gz	2019-09-09T13:33:10	n/a	<W[%2+^(
func/sub-14_ses-01_task-recall_run-03_bold.nii.gz	2019-09-09T13:55:08	n/a	Q<M^9#-S
fmap/sub-14_ses-01_dir-AP_epi.nii.gz	2019-09-09T14:08:41	n/a	SkVq'oDP
fmap/sub-14_ses-01_dir-PA_epi.nii.gz	2019-09-09T14:09:24	n/a	[W?]4Rjx
