filename	acq_time	operator	randstr
func/sub-03_ses-01_task-view_run-01_bold.nii.gz	2019-06-01T10:41:14	n/a	7kyAvICu
func/sub-03_ses-01_task-recall_run-01_bold.nii.gz	2019-06-01T11:03:27	n/a	y_-a?GIo
func/sub-03_ses-01_task-view_run-02_bold.nii.gz	2019-06-01T11:14:14	n/a	iE(S{de'
func/sub-03_ses-01_task-recall_run-02_bold.nii.gz	2019-06-01T11:35:47	n/a	^o;83921
func/sub-03_ses-01_task-view_run-03_bold.nii.gz	2019-06-01T11:46:30	n/a	@atPN0kT
func/sub-03_ses-01_task-recall_run-03_bold.nii.gz	2019-06-01T12:07:34	n/a	;kQ|>\tq
anat/sub-03_ses-01_T1w.nii.gz	2019-06-01T12:19:27	n/a	"yN#""O(g:"
