filename	acq_time	operator	randstr
anat/sub-12_ses-01_T1w.nii.gz	2019-09-06T14:59:39	n/a	(yAt?S4`
func/sub-12_ses-01_task-view_run-01_bold.nii.gz	2019-09-06T15:05:27	n/a	J~>-LMX2
func/sub-12_ses-01_task-recall_run-01_bold.nii.gz	2019-09-06T15:28:19	n/a	NGrmubpL
func/sub-12_ses-01_task-view_run-02_bold.nii.gz	2019-09-06T15:35:11	n/a	GH1I7]4P
func/sub-12_ses-01_task-recall_run-02_bold.nii.gz	2019-09-06T15:57:07	n/a	a@;32qu^
func/sub-12_ses-01_task-view_run-03_bold.nii.gz	2019-09-06T16:02:19	n/a	JG:wfWsx
func/sub-12_ses-01_task-recall_run-03_bold.nii.gz	2019-09-06T16:23:31	n/a	w9p(ACB/
fmap/sub-12_ses-01_dir-AP_epi.nii.gz	2019-09-06T16:28:12	n/a	2EQ?]yqh
fmap/sub-12_ses-01_dir-PA_epi.nii.gz	2019-09-06T16:28:50	n/a	!gT;K_q0
