filename	acq_time	operator	randstr
anat/sub-19_ses-01_T1w.nii.gz	2019-09-13T15:23:26	n/a	E$fngNPh
func/sub-19_ses-01_task-view_run-01_bold.nii.gz	2019-09-13T15:26:45	n/a	sf_rAHq$
func/sub-19_ses-01_task-recall_run-01_bold.nii.gz	2019-09-13T15:49:01	n/a	8:q.DAB1
func/sub-19_ses-01_task-view_run-02_bold.nii.gz	2019-09-13T15:55:35	n/a	]1?{ar=I
func/sub-19_ses-01_task-recall_run-02_bold.nii.gz	2019-09-13T16:16:45	n/a	5f1tAe*D
func/sub-19_ses-01_task-view_run-03_bold.nii.gz	2019-09-13T16:22:01	n/a	s72m@&5h
func/sub-19_ses-01_task-recall_run-03_bold.nii.gz	2019-09-13T16:42:35	n/a	@9oauf=w
fmap/sub-19_ses-01_dir-AP_epi.nii.gz	2019-09-13T16:49:28	n/a	eG\?qEA-
fmap/sub-19_ses-01_dir-PA_epi.nii.gz	2019-09-13T16:50:07	n/a	BO)28n#A
