filename	acq_time	operator	randstr
anat/sub-10_ses-01_T1w.nii.gz	2019-08-30T17:17:16	n/a	|+72rO&;
func/sub-10_ses-01_task-view_run-01_bold.nii.gz	2019-08-30T17:22:02	n/a	S:}lQaMB
func/sub-10_ses-01_task-recall_run-01_bold.nii.gz	2019-08-30T17:45:03	n/a	nF@5raP2
func/sub-10_ses-01_task-view_run-02_bold.nii.gz	2019-08-30T17:51:56	n/a	/{Vi|3*m
func/sub-10_ses-01_task-recall_run-02_bold.nii.gz	2019-08-30T18:16:03	n/a	b8-L4P3K
func/sub-10_ses-01_task-view_run-03_bold.nii.gz	2019-08-30T18:24:56	n/a	HgX2o&h8
func/sub-10_ses-01_task-recall_run-03_bold.nii.gz	2019-08-30T18:48:03	n/a	[W2nI3|.
fmap/sub-10_ses-01_dir-AP_epi.nii.gz	2019-08-30T18:52:01	n/a	ViOX`L!U
fmap/sub-10_ses-01_dir-PA_epi.nii.gz	2019-08-30T18:52:40	n/a	Z~GL^h8F
