filename	acq_time	operator	randstr
anat/sub-13_ses-01_T1w.nii.gz	2019-09-07T12:42:03	n/a	rT8A+1k=
func/sub-13_ses-01_task-view_run-01_bold.nii.gz	2019-09-07T12:46:43	n/a	,IgHTr^B
func/sub-13_ses-01_task-recall_run-01_bold.nii.gz	2019-09-07T13:09:11	n/a	M:m>E4o,
func/sub-13_ses-01_task-view_run-02_bold.nii.gz	2019-09-07T13:15:07	n/a	gRi;.53U
func/sub-13_ses-01_task-recall_run-02_bold.nii.gz	2019-09-07T13:36:23	n/a	\8hLe9H_
func/sub-13_ses-01_task-view_run-03_bold.nii.gz	2019-09-07T13:42:31	n/a	{eIvX/J@
func/sub-13_ses-01_task-recall_run-03_bold.nii.gz	2019-09-07T14:03:47	n/a	|vk4P:\B
fmap/sub-13_ses-01_dir-AP_epi.nii.gz	2019-09-07T14:10:55	n/a	ai=owI.y
fmap/sub-13_ses-01_dir-PA_epi.nii.gz	2019-09-07T14:11:35	n/a	m;l(@}JR
